Site,Q_StartTime,Q_EndTime,Q_PeakTime,Q_Total_mm,Q_Runoff_mm,Q_Peak_cms.sqkm,Q_Peak_cfs,Q_Duration_hrs,Q_TimeToFlowPeak_hrs,Q_RiseRate_cms.hr,Q_PriorDry_hrs,Q_Runoff_PrecipRatio,Q_Total_PrecipRatio,Precip_StartTime,Precip_EndTime,Precip_Total_mm,Precip_Duration_hrs,Precip_PriorDry_hrs
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/8/2007 10:20,3/8/2007 11:15,1.27,0.92,20.33
Urban Control,3/10/2007 22:25,3/11/2007 9:30,3/11/2007 0:45,0.72,0.19,0.023,2.5,11.08,2.33,0.03,28.42,0.04581,0.17835,3/10/2007 21:20,3/10/2007 23:15,4.064,1.92,58.08
Urban Control,3/15/2007 18:45,3/19/2007 10:20,3/16/2007 12:50,24.13,12.84,0.347,38,87.58,18.08,0.06,26,0.21328,0.40084,3/15/2007 15:50,3/18/2007 13:00,60.198,30.67,112.58
Urban Control,3/22/2007 20:50,3/23/2007 6:25,3/22/2007 23:20,0.53,0.12,0.016,1.8,9.58,2.5,0.02,82.42,0.06666,0.29638,3/22/2007 18:50,3/22/2007 21:15,1.778,2.42,101.83
Urban Control,3/23/2007 17:55,3/25/2007 13:20,3/23/2007 19:40,4.04,1.1,0.041,4.5,43.42,1.75,0.073,11.42,0.09416,0.34557,3/23/2007 12:05,3/24/2007 9:15,11.684,21.17,14.83
Urban Control,4/11/2007 13:35,4/12/2007 13:45,4/12/2007 5:40,8.01,6.22,0.265,29,24.17,16.08,0.051,19.58,0.2424,0.31237,4/11/2007 20:25,4/12/2007 15:05,25.654,8.75,108.75
Urban Control,4/14/2007 23:55,4/18/2007 0:55,4/15/2007 7:00,47.82,29.6,0.667,73,73,7.08,0.292,58.08,0.43327,0.69993,4/14/2007 17:15,4/15/2007 14:20,68.326,21.08,50.17
Urban Control,4/27/2007 3:05,4/27/2007 20:35,4/27/2007 7:45,0.87,0.12,0.022,2.4,17.5,4.67,0.015,183.08,0.00956,0.06885,4/26/2007 19:20,4/27/2007 21:45,12.7,11.58,240.5
Urban Control,5/10/2007 23:55,5/12/2007 0:45,5/11/2007 1:55,1.39,0.43,0.025,2.7,24.83,2,0.038,54.17,0.06062,0.19512,5/10/2007 21:15,5/10/2007 22:55,7.112,1.67,311.5
Urban Control,5/13/2007 1:20,5/14/2007 1:15,5/13/2007 4:15,1.44,0.52,0.035,3.8,23.92,2.92,0.037,24.5,0.0511,0.14222,5/12/2007 19:55,5/13/2007 1:45,10.16,5.83,45
Urban Control,5/14/2007 9:30,5/16/2007 22:55,5/16/2007 17:20,4.58,1.74,0.073,8,61.42,55.83,0.004,8.17,0.09944,0.26115,5/16/2007 13:40,5/16/2007 14:40,17.526,1,83.92
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/8/2007 18:30,6/8/2007 18:55,4.064,0.42,99.92
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/12/2007 15:15,6/12/2007 15:55,7.62,0.67,92.33
Urban Control,6/13/2007 17:45,6/14/2007 14:15,6/13/2007 18:30,4.65,3.49,0.238,26,20.5,0.75,0.982,22.5,0.12608,0.16806,6/13/2007 16:30,6/14/2007 5:10,27.686,4.17,24.58
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/19/2007 14:00,6/19/2007 15:40,12.954,1.67,128.83
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/19/2007 22:25,6/20/2007 0:05,0.508,1.67,6.75
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/21/2007 16:05,6/21/2007 18:20,1.27,2.25,40
Urban Control,6/28/2007 22:05,6/29/2007 1:50,6/28/2007 22:15,0.23,0.14,0.032,3.5,3.75,0.17,0.583,343.75,0.01448,0.02401,6/28/2007 19:40,6/28/2007 20:45,9.652,1.08,169.33
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/29/2007 10:40,6/29/2007 11:25,0.762,0.75,13.92
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/3/2007 20:30,7/3/2007 21:00,2.032,0.5,105.08
Urban Control,7/4/2007 19:50,7/5/2007 1:40,7/4/2007 21:15,0.29,0.14,0.023,2.5,5.83,1.42,0.05,18.17,0.0134,0.02741,7/4/2007 13:45,7/4/2007 19:45,10.414,6,16.75
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/5/2007 18:55,7/5/2007 19:10,0.762,0.25,23.17
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/13/2007 21:55,7/13/2007 22:05,0.762,0.17,194.75
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/16/2007 15:05,7/16/2007 15:25,1.27,0.33,65
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/5/2007 16:20,8/5/2007 19:15,0.762,2.92,166.5
Urban Control,8/6/2007 3:40,8/6/2007 16:00,8/6/2007 5:15,0.75,0.44,0.068,7.4,12.33,1.58,0.133,169.08,0.0309,0.05295,8/6/2007 1:20,8/6/2007 3:35,14.224,2.25,6.08
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/9/2007 10:45,8/9/2007 12:00,4.826,1.25,79.17
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/9/2007 21:15,8/9/2007 22:10,1.524,0.92,9.25
Urban Control,8/16/2007 9:10,8/16/2007 17:00,8/16/2007 10:15,0.39,0.22,0.039,4.3,7.83,1.08,0.113,233.08,0.0291,0.05062,8/16/2007 7:20,8/16/2007 8:15,7.62,0.92,153.17
Urban Control,8/20/2007 0:45,8/20/2007 8:45,8/20/2007 2:30,0.48,0.29,0.037,4,8,1.75,0.065,79.67,0.02564,0.04187,8/19/2007 18:20,8/20/2007 1:00,11.43,6.67,82.08
Urban Control,8/20/2007 17:55,8/22/2007 10:35,8/21/2007 4:45,7.41,4.93,0.247,27,40.67,10.83,0.071,9.08,0.11551,0.17362,8/20/2007 15:50,8/22/2007 0:10,42.672,21.33,14.83
Urban Control,8/25/2007 17:00,8/26/2007 17:45,8/25/2007 18:00,3.99,2.89,0.228,25,24.75,1,0.708,62.17,0.08064,0.11146,8/25/2007 15:30,8/25/2007 22:00,35.814,6.5,81.17
Urban Control,9/11/2007 6:55,9/11/2007 19:25,9/11/2007 13:00,0.39,0.22,0.015,1.6,12.5,6.08,0.007,373.08,0.01682,0.0297,9/10/2007 21:25,9/11/2007 12:40,13.208,15.25,383.42
Urban Control,9/14/2007 21:40,9/15/2007 1:10,9/14/2007 23:00,0.08,0.03,0.006,0.71,3.5,1.33,0.015,74.17,0.00518,0.01164,9/14/2007 16:15,9/15/2007 4:05,6.604,11.83,75.58
Urban Control,9/27/2007 20:15,9/28/2007 8:00,9/27/2007 21:00,0.61,0.42,0.034,3.7,11.75,0.75,0.14,307,0.06076,0.08928,9/27/2007 18:35,9/27/2007 23:45,6.858,5.17,302.5
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10/11/2007 21:40,10/11/2007 22:25,1.016,0.75,26.5
Urban Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10/19/2007 5:30,10/19/2007 12:35,3.302,7.08,175.08
Urban Control,10/19/2007 16:00,10/20/2007 11:35,10/19/2007 22:15,0.64,0.34,0.017,1.87,19.58,6.25,0.008,511.92,0.06042,0.11482,10/19/2007 18:45,10/20/2007 0:00,5.588,5.25,6.17
Urban Control,10/24/2007 5:00,10/29/2007 6:15,10/27/2007 5:15,18.63,8.8,0.205,22.4,121.25,72.25,0.009,89.33,0.08536,0.18061,10/24/2007 3:15,10/27/2007 6:45,103.124,75.5,99.25
