Site,Q_StartTime,Q_EndTime,Q_PeakTime,Q_Total_mm,Q_Runoff_mm,Q_Peak_cms.sqkm,Q_Peak_cfs,Q_Duration_hrs,Q_TimeToFlowPeak_hrs,Q_RiseRate_cms.hr,Q_PriorDry_hrs,Q_Runoff_PrecipRatio,Q_Total_PrecipRatio,Precip_StartTime,Precip_EndTime,Precip_Total_mm,Precip_Duration_hrs,Precip_PriorDry_hrs
Forested Control,4/22/2006 17:05,4/24/2006 9:20, 2006-04-22 23:35:00,3.56,1.53,0.065,7.8,40.25,6.5,0.034,277.25,0.03534,0.08185,4/21/2006 18:20,4/23/2006 11:15,43.434,28.67,103.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/25/2006 20:30,4/25/2006 23:45,3.81,3.25,57.25
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/7/2006 19:15,5/8/2006 1:30,4.572,6.25,283.5
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/11/2006 7:55,5/11/2006 8:25,0.762,0.5,70.08
Forested Control,5/11/2006 18:30,5/12/2006 11:55, 2006-05-11 21:30:00,1.24,0.72,0.038,4.6,17.42,3,0.043,375.25,0.01762,0.03017,5/11/2006 14:45,5/11/2006 20:50,41.148,6.08,6.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/13/2006 0:40,5/13/2006 1:35,2.54,0.92,18.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/14/2006 15:40,5/14/2006 16:25,1.524,0.75,38.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/15/2006 3:45,5/15/2006 15:50,9.144,12.08,11.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/19/2006 2:00,5/19/2006 4:00,2.794,2,36.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/26/2006 9:00,5/26/2006 14:00,1.016,5,173
Forested Control,6/2/2006 21:45,6/3/2006 9:30, 2006-06-02 23:25:00,0.75,0.45,0.034,4.1,11.75,1.67,0.07,16.83,0.01593,0.0265,6/2/2006 17:30,6/2/2006 22:45,28.448,5.25,171.5
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/12/2006 3:40,6/12/2006 7:35,7.62,3.92,58.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/19/2006 13:50,6/19/2006 17:40,5.334,3.83,114.33
Forested Control,6/20/2006 3:50,6/20/2006 5:55, 2006-06-20 04:00:00,0.04,0.02,0.006,0.76,2.08,0.17,0.127,402.25,0.00698,0.0173,6/20/2006 3:30,6/20/2006 5:40,2.54,2.17,9.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/22/2006 22:40,6/23/2006 0:35,31.496,1.92,65
Forested Control,6/24/2006 15:05,6/24/2006 17:00, 2006-06-24 15:10:00,0.04,0.02,0.006,0.76,1.92,0.08,0.269,105.08,0.00251,0.00578,6/24/2006 15:00,6/24/2006 18:55,6.858,3.92,38.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/25/2006 7:35,6/25/2006 10:05,12.954,2.5,12.67
Forested Control,6/27/2006 17:40,6/29/2006 2:50, 2006-06-27 22:25:00,3.44,1.72,0.076,9.1,33.17,4.75,0.054,12.08,0.01098,0.02191,6/25/2006 17:05,6/29/2006 2:35,156.972,65.58,7
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/29/2006 14:50,6/29/2006 15:05,1.778,0.25,12.25
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/4/2006 13:40,7/4/2006 13:50,0.762,0.17,118.58
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/4/2006 22:40,7/5/2006 3:25,2.794,4.75,8.83
Forested Control,7/5/2006 22:00,7/6/2006 16:35, 2006-07-05 23:25:00,2.11,1.58,0.175,21,18.58,1.42,0.419,163.08,0.01578,0.0211,7/5/2006 11:35,7/6/2006 3:55,100.076,16.33,8.17
Forested Control,7/22/2006 18:40,7/22/2006 20:10, 2006-07-22 18:50:00,0.03,0.01,0.006,0.76,1.5,0.17,0.127,386,0.00534,0.01179,7/22/2006 15:15,7/22/2006 18:50,2.794,3.58,224.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/25/2006 19:00,7/25/2006 19:15,3.302,0.25,72.17
Forested Control,7/27/2006 20:25,7/28/2006 10:10, 2006-07-27 22:05:00,0.98,0.76,0.05,6,13.75,1.67,0.102,120.17,0.01826,0.02363,7/27/2006 20:20,7/28/2006 12:25,41.402,1.83,49.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/7/2006 2:20,8/7/2006 4:25,8.128,2.08,229.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/10/2006 8:50,8/10/2006 10:15,1.27,1.42,76.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/20/2006 13:45,8/20/2006 14:10,2.794,0.42,243.5
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/26/2006 23:20,8/27/2006 2:15,7.62,2.92,153.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/27/2006 21:10,8/28/2006 1:10,1.016,4,18.92
Forested Control,9/1/2006 17:45,9/2/2006 12:55, 2006-09-01 23:55:00,0.62,0.37,0.016,1.9,19.17,6.17,0.009,847.5,0.00577,0.00973,9/1/2006 5:50,9/2/2006 13:25,63.5,31.58,100.67
Forested Control,9/5/2006 4:20,9/5/2006 17:55, 2006-09-05 09:30:00,0.76,0.58,0.036,4.3,13.58,5.17,0.024,63.33,0.01259,0.01646,9/5/2006 2:10,9/5/2006 14:20,45.974,12.17,10.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/6/2006 11:00,9/6/2006 11:35,0.508,0.58,20.67
Forested Control,9/11/2006 2:25,9/11/2006 13:40, 2006-09-11 04:05:00,0.35,0.23,0.012,1.4,11.25,1.67,0.024,128.42,0.00646,0.00995,9/10/2006 23:15,9/11/2006 9:50,35.56,10.58,63.58
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/13/2006 4:45,9/13/2006 7:00,0.762,2.25,42.92
Forested Control,9/14/2006 4:40,9/14/2006 17:10, 2006-09-14 09:35:00,0.35,0.19,0.011,1.3,12.5,4.92,0.007,62.92,0.00734,0.01373,9/14/2006 0:10,9/14/2006 11:05,25.654,10.92,17.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/15/2006 18:20,9/15/2006 18:50,5.08,0.5,31.25
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/24/2006 7:55,9/24/2006 16:05,13.462,8.17,187.58
Forested Control,9/28/2006 16:45,9/29/2006 7:55, 2006-09-28 20:20:00,0.53,0.27,0.012,1.5,15.17,3.58,0.012,335.5,0.01357,0.02644,9/28/2006 15:30,9/28/2006 21:10,20.066,5.67,86.58
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/30/2006 9:40,9/30/2006 11:35,1.27,1.92,29.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/30/2006 22:20,10/1/2006 3:50,2.794,5.5,10.75
Forested Control,10/6/2006 2:15,10/7/2006 0:35, 2006-10-06 08:45:00,1.1,0.64,0.023,2.8,22.33,6.5,0.012,162.25,0.01229,0.02096,10/5/2006 20:20,10/7/2006 15:40,52.324,31.08,112.5
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10/12/2006 1:05,10/12/2006 1:40,2.54,0.58,105.42
Forested Control,10/17/2006 10:30,10/18/2006 13:40, 2006-10-17 15:50:00,1.37,0.72,0.027,3.2,27.17,5.33,0.017,229.67,0.02406,0.04595,10/17/2006 5:10,10/17/2006 15:30,29.718,10.33,123.5
Forested Control,10/20/2006 9:30,10/20/2006 23:55, 2006-10-20 11:35:00,0.55,0.21,0.011,1.3,14.42,2.08,0.018,43.75,0.01989,0.05128,10/19/2006 19:20,10/20/2006 9:35,10.668,14.25,51.83
Forested Control,10/28/2006 0:00,10/29/2006 9:50, 2006-10-28 07:00:00,6.27,3.86,0.208,25,33.83,7,0.101,168,0.08051,0.13067,10/27/2006 14:30,10/28/2006 6:55,48.006,16.42,172.92
Forested Control,11/2/2006 1:40,11/3/2006 1:00, 2006-11-02 09:30:00,1.4,0.32,0.018,2.2,23.33,7.83,0.008,64.5,0.02205,0.09671,11/1/2006 23:15,11/2/2006 4:05,14.478,4.83,112.33
Forested Control,11/8/2006 1:05,11/10/2006 20:10, 2006-11-08 07:35:00,13.57,5.9,0.2,24,67.08,6.5,0.105,110.83,0.12034,0.27688,11/7/2006 14:10,11/8/2006 12:00,49.022,21.83,130.08
Forested Control,11/12/2006 7:35,11/19/2006 3:55, 2006-11-16 14:20:00,27.18,9.71,0.358,43,164.33,102.75,0.012,35.33,0.14531,0.40691,11/11/2006 22:10,11/16/2006 15:45,66.802,35.17,82.17
Forested Control,11/22/2006 15:05,11/24/2006 21:05, 2006-11-22 23:35:00,9.06,4.01,0.142,17,54,8.5,0.057,33.83,0.1317,0.29714,11/22/2006 13:25,11/23/2006 14:15,30.48,16.58,141.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/1/2006 6:20,12/1/2006 10:10,0.508,3.83,184.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/13/2006 6:40,12/13/2006 9:55,4.572,3.25,284.5
Forested Control,12/22/2006 16:05,12/24/2006 23:35, 2006-12-23 01:25:00,8.33,4.3,0.167,20,55.5,9.33,0.061,498.92,0.13021,0.25226,12/22/2006 9:50,12/23/2006 1:35,33.02,15.75,215.92
Forested Control,12/25/2006 14:45,12/27/2006 11:00, 2006-12-25 23:50:00,5.88,2.3,0.081,9.7,44.25,9.08,0.03,15.08,0.14147,0.36144,12/25/2006 11:10,12/26/2006 7:20,16.256,13.5,57.58
Forested Control,1/1/2007 3:05,1/2/2007 14:45, 2007-01-01 05:55:00,9.04,5.4,0.325,39,35.67,2.83,0.39,65.17,0.15999,0.26755,12/31/2006 21:30,1/1/2007 12:15,33.782,14.75,134.17
Forested Control,1/5/2007 9:50,1/7/2007 6:45, 2007-01-05 16:25:00,3.34,0.74,0.027,3.2,44.92,6.58,0.014,30.25,0.05413,0.24381,1/5/2007 5:20,1/6/2007 2:20,13.716,9.75,89.08
Forested Control,1/7/2007 19:15,1/10/2007 5:15, 2007-01-08 00:40:00,11.24,5.22,0.133,16,58,5.42,0.084,12.42,0.19566,0.42162,1/7/2007 17:10,1/8/2007 9:10,26.67,16,38.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/13/2007 14:45,1/13/2007 15:05,0.508,0.33,22.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/14/2007 0:10,1/14/2007 11:10,2.286,11,9.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/22/2007 11:15,1/22/2007 15:30,3.302,4.25,159.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/2/2007 9:15,2/2/2007 16:15,1.016,7,239.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/17/2007 12:55,2/17/2007 18:35,9.398,5.67,338
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/18/2007 12:40,2/18/2007 13:20,1.016,0.67,18.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/19/2007 11:25,2/19/2007 14:00,4.572,2.58,22.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/20/2007 3:50,2/20/2007 11:35,5.08,7.75,13.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/20/2007 21:35,2/20/2007 23:40,3.556,2.08,10
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/25/2007 12:05,2/25/2007 14:45,0.508,2.67,108.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/26/2007 9:35,2/26/2007 14:00,17.526,4.42,18.83
Forested Control,3/1/2007 16:30,3/21/2007 9:50, 2007-03-02 02:55:00,77.28,18.54,0.25,30,473.33,10.42,0.082,10.75,0.1978,0.82448,3/1/2007 18:55,3/18/2007 13:00,93.726,47.42,76.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/22/2007 18:50,3/22/2007 21:15,1.778,2.42,101.83
Forested Control,3/23/2007 21:20,3/25/2007 9:30, 2007-03-24 07:50:00,3.27,0.35,0.027,3.2,36.17,10.5,0.009,39.08,0.02954,0.27988,3/23/2007 12:05,3/24/2007 9:15,11.684,21.17,14.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/1/2007 23:00,4/1/2007 23:50,2.286,0.83,205.75
Forested Control,4/12/2007 0:30,4/13/2007 11:25, 2007-04-12 06:25:00,3.97,1.7,0.072,8.7,34.92,5.92,0.042,210.08,0.06645,0.15479,4/11/2007 20:25,4/12/2007 15:05,25.654,8.75,108.75
Forested Control,4/14/2007 23:15,4/18/2007 14:15, 2007-04-15 07:20:00,25.05,12.08,0.308,37,87,8.08,0.13,20.58,0.17677,0.36663,4/14/2007 17:15,4/15/2007 14:20,68.326,21.08,50.17
Forested Control,4/26/2007 22:55,4/28/2007 1:55, 2007-04-27 02:40:00,2,0.45,0.022,2.7,27,3.75,0.02,129.33,0.03513,0.15778,4/26/2007 19:20,4/27/2007 21:45,12.7,11.58,240.5
Forested Control,5/11/2007 0:50,5/11/2007 8:05, 2007-05-11 01:20:00,0.37,0.09,0.016,1.9,7.25,0.5,0.108,310.83,0.01316,0.05154,5/10/2007 21:15,5/10/2007 22:55,7.112,1.67,311.5
Forested Control,5/13/2007 2:55,5/13/2007 10:55, 2007-05-13 05:40:00,0.41,0.13,0.016,1.9,8,2.75,0.02,42.75,0.01289,0.04031,5/12/2007 19:55,5/13/2007 1:45,10.16,5.83,45
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/16/2007 13:40,5/16/2007 14:40,17.526,1,83.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/27/2007 16:55,5/27/2007 17:20,0.508,0.42,266.25
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/1/2007 21:25,6/1/2007 22:40,12.192,1.25,124.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/3/2007 8:05,6/3/2007 19:15,10.414,11.17,33.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/4/2007 2:55,6/4/2007 4:20,1.016,1.42,7.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/4/2007 14:20,6/4/2007 14:35,8.89,0.25,10
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/8/2007 18:30,6/8/2007 18:55,4.064,0.42,99.92
Forested Control,6/12/2007 16:15,6/12/2007 18:45, 2007-06-12 16:25:00,0.08,0.03,0.012,1.4,2.5,0.17,0.233,725.25,0.00434,0.01062,6/12/2007 15:15,6/12/2007 15:55,7.62,0.67,92.33
Forested Control,6/13/2007 18:30,6/14/2007 3:40, 2007-06-13 20:15:00,0.29,0.09,0.01,1.2,9.17,1.75,0.019,23.67,0.00335,0.01061,6/13/2007 16:30,6/14/2007 5:10,27.686,4.17,24.58
Forested Control,6/19/2007 15:40,6/20/2007 1:25, 2007-06-19 18:15:00,0.47,0.27,0.022,2.6,9.75,2.58,0.029,131.92,0.02016,0.03474,6/19/2007 14:00,6/20/2007 0:05,13.462,3.33,128.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/21/2007 16:05,6/21/2007 18:20,1.27,2.25,40
Forested Control,6/28/2007 20:45,6/29/2007 6:00, 2007-06-28 22:10:00,0.66,0.46,0.057,6.9,9.25,1.42,0.138,211.25,0.04734,0.06834,6/28/2007 19:40,6/28/2007 20:45,9.652,1.08,169.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,6/29/2007 10:40,6/29/2007 11:25,0.762,0.75,13.92
Forested Control,7/3/2007 21:45,7/4/2007 3:25, 2007-07-03 22:00:00,0.14,0.06,0.008,0.9,5.67,0.25,0.102,111.67,0.02746,0.06743,7/3/2007 20:30,7/3/2007 21:00,2.032,0.5,105.08
Forested Control,7/4/2007 15:05,7/5/2007 3:10, 2007-07-04 15:10:00,0.42,0.19,0.012,1.5,12.08,0.08,0.531,11.58,0.01798,0.04066,7/4/2007 13:45,7/4/2007 19:45,10.414,6,16.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/5/2007 18:55,7/5/2007 19:10,0.762,0.25,23.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/13/2007 21:55,7/13/2007 22:05,0.762,0.17,194.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7/16/2007 15:05,7/16/2007 15:25,1.27,0.33,65
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/5/2007 16:20,8/5/2007 19:15,0.762,2.92,166.5
Forested Control,8/6/2007 4:05,8/6/2007 9:30, 2007-08-06 04:20:00,0.13,0.08,0.008,0.9,5.42,0.25,0.102,167.67,0.00564,0.00915,8/6/2007 1:20,8/6/2007 3:35,14.224,2.25,6.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/9/2007 10:45,8/9/2007 12:00,4.826,1.25,79.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/9/2007 21:15,8/9/2007 22:10,1.524,0.92,9.25
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/16/2007 7:20,8/16/2007 8:15,7.62,0.92,153.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/19/2007 18:20,8/20/2007 1:00,11.43,6.67,82.08
Forested Control,8/20/2007 17:40,8/21/2007 14:25, 2007-08-21 05:30:00,0.6,0.31,0.014,1.7,20.75,11.83,0.004,12.75,0.00742,0.01433,8/20/2007 15:50,8/21/2007 9:20,41.91,17.5,14.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,8/21/2007 20:20,8/22/2007 0:10,0.762,3.83,11
Forested Control,8/25/2007 16:55,8/26/2007 9:20, 2007-08-25 18:20:00,1.16,0.85,0.142,17,16.42,1.42,0.339,98.42,0.02369,0.03241,8/25/2007 15:30,8/25/2007 22:00,35.814,6.5,81.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/10/2007 21:25,9/11/2007 12:40,13.208,15.25,383.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,9/14/2007 16:15,9/15/2007 4:05,6.604,11.83,75.58
Forested Control,9/27/2007 20:50,9/28/2007 5:40, 2007-09-27 22:30:00,0.16,0.09,0.006,0.7,8.83,1.67,0.012,779.42,0.01339,0.0236,9/27/2007 18:35,9/27/2007 23:45,6.858,5.17,302.5
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10/19/2007 5:30,10/19/2007 12:35,3.302,7.08,175.08
Forested Control,10/19/2007 21:25,10/20/2007 4:20, 2007-10-19 21:30:00,0.08,0.05,0.004,0.45,6.92,0.08,0.159,519.67,0.0084,0.01424,10/19/2007 18:45,10/20/2007 0:00,5.588,5.25,6.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/6/2007 4:00,11/6/2007 4:45,3.302,0.75,6.08
Forested Control,11/13/2007 0:00,11/13/2007 9:30, 2007-11-13 00:00:00,0.15,0.05,0.005,0.61,9.5,0,0,149,0.01012,0.03102,11/13/2007 6:05,11/13/2007 7:55,4.826,1.83,22.58
Forested Control,11/15/2007 4:55,11/16/2007 0:00, 2007-11-15 09:55:00,1.31,0.81,0.043,5.19,19.08,5,0.029,43.33,0.0306,0.04944,11/15/2007 1:15,11/15/2007 9:55,26.416,8.67,41.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,11/26/2007 1:20,11/26/2007 1:55,0.762,0.58,83
Forested Control,12/2/2007 21:55,12/3/2007 11:35, 2007-12-03 02:15:00,0.44,0.18,0.011,1.3,13.67,4.33,0.009,381.92,0.00994,0.0239,12/2/2007 14:50,12/3/2007 1:25,18.542,10.58,136.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/8/2007 2:40,12/8/2007 12:55,12.446,10.25,14.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/9/2007 4:45,12/9/2007 10:40,1.778,5.92,15.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/9/2007 21:40,12/9/2007 22:45,2.286,1.08,11
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/10/2007 5:25,12/10/2007 6:45,2.032,1.33,6.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/10/2007 18:45,12/11/2007 0:00,1.524,5.25,12
Forested Control,12/15/2007 23:20,12/17/2007 20:10, 2007-12-16 04:50:00,6.19,4.02,0.212,25.5,44.83,5.5,0.131,299.67,0.10023,0.15436,12/15/2007 22:05,12/16/2007 16:20,40.132,18.25,41.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/23/2007 5:20,12/23/2007 18:00,5.588,12.67,157
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/26/2007 14:55,12/26/2007 19:25,2.54,4.5,68.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/28/2007 19:25,12/29/2007 3:55,11.938,8.5,48
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,12/30/2007 15:20,12/31/2007 1:15,9.906,9.92,35.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/6/2008 0:20,1/6/2008 5:50,4.318,5.5,143.08
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/10/2008 17:40,1/11/2008 11:40,7.112,18,107.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/14/2008 7:00,1/14/2008 7:20,0.508,0.33,67.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/18/2008 9:35,1/18/2008 16:30,14.478,6.92,68.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1/19/2008 8:55,1/19/2008 13:40,3.302,4.75,16.42
Forested Control,1/30/2008 4:35,1/30/2008 14:45, 2008-01-30 09:20:00,0.24,0.09,0.007,0.83,10.17,4.75,0.005,704.25,0.00977,0.0271,1/29/2008 6:55,1/30/2008 3:00,8.89,20.08,233.25
Forested Control,2/1/2008 7:10,2/3/2008 7:30, 2008-02-01 13:00:00,11.29,7.51,0.252,30.2,48.33,5.83,0.147,40.33,0.22755,0.34205,2/1/2008 7:10,2/1/2008 15:05,33.02,7.92,52.17
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/4/2008 7:05,2/4/2008 9:25,1.778,2.33,64
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/6/2008 22:30,2/6/2008 22:35,1.524,0.08,7.67
Forested Control,2/13/2008 9:50,2/14/2008 20:50, 2008-02-13 17:15:00,5.16,3.11,0.105,12.6,35,7.42,0.048,150.58,0.19728,0.32755,2/13/2008 5:55,2/13/2008 15:40,15.748,9.75,151.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/22/2008 12:50,2/22/2008 15:55,2.54,3.08,25.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2/23/2008 9:35,2/23/2008 12:00,1.016,2.42,17.67
Forested Control,2/26/2008 16:40,2/27/2008 8:50, 2008-02-26 21:25:00,0.53,0.14,0.009,1.13,16.17,4.75,0.007,259.42,0.01391,0.05131,2/26/2008 3:40,2/26/2008 17:30,10.414,13.83,63.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/1/2008 4:10,3/1/2008 4:55,0.762,0.75,82.67
Forested Control,3/4/2008 23:25,3/6/2008 10:55, 2008-03-05 02:35:00,6.35,3.92,0.197,23.6,35.5,3.17,0.211,158.5,0.1103,0.17851,3/4/2008 17:55,3/5/2008 5:20,35.56,11.42,85
Forested Control,3/7/2008 18:35,3/9/2008 15:25, 2008-03-08 15:45:00,4.62,1.64,0.055,6.66,44.83,21.17,0.009,31.58,0.08297,0.23328,3/7/2008 13:15,3/8/2008 16:00,19.812,17.08,55.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/10/2008 22:45,3/11/2008 0:00,0.762,1.25,54.75
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/15/2008 0:25,3/15/2008 1:35,0.762,1.17,96.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/15/2008 21:25,3/16/2008 7:50,6.096,10.42,12.67
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/18/2008 16:40,3/18/2008 22:05,2.794,5.42,56.83
Forested Control,3/19/2008 15:10,3/21/2008 1:15, 2008-03-20 03:55:00,1.86,0.62,0.024,2.89,34.08,12.75,0.006,189.67,0.04725,0.14088,3/19/2008 12:00,3/20/2008 0:30,13.208,12.5,13.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/27/2008 8:50,3/27/2008 9:40,0.508,0.83,176.33
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3/31/2008 7:35,4/1/2008 7:00,7.62,23.42,93.92
Forested Control,4/3/2008 20:40,4/5/2008 6:45, 2008-04-04 03:20:00,2.13,0.84,0.028,3.39,34.08,6.67,0.014,331.33,0.03669,0.09316,4/3/2008 14:50,4/4/2008 3:05,22.86,12.25,55.83
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/6/2008 0:40,4/6/2008 9:50,10.16,9.17,45.58
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/7/2008 6:05,4/7/2008 9:30,0.508,3.42,20.25
Forested Control,4/11/2008 21:35,4/12/2008 14:15, 2008-04-12 03:15:00,0.9,0.31,0.018,2.17,16.67,5.67,0.011,158.75,0.0213,0.06197,4/11/2008 20:55,4/11/2008 21:55,14.478,1,107.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/13/2008 22:50,4/14/2008 0:15,0.762,1.42,40.67
Forested Control,4/20/2008 8:40,4/23/2008 8:50, 2008-04-20 15:40:00,23.1,12.93,0.393,47.2,72.17,7,0.191,172.33,0.11652,0.20807,4/20/2008 3:40,4/21/2008 19:55,110.998,40.25,147.42
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,4/26/2008 20:20,4/27/2008 2:05,9.652,5.75,120.42
Forested Control,4/28/2008 10:15,4/29/2008 14:25, 2008-04-28 16:50:00,2.33,0.89,0.038,4.53,28.17,6.58,0.019,121.33,0.04656,0.1225,4/27/2008 21:00,4/28/2008 15:05,19.05,18.08,18.92
Forested Control,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5/8/2008 3:20,5/8/2008 4:45,0.508,1.42,228.25
Forested Control,5/8/2008 23:20,5/9/2008 21:50, 2008-05-09 02:10:00,2.29,0.76,0.031,3.74,22.5,2.83,0.037,224.83,0.02586,0.0785,5/8/2008 11:15,5/9/2008 12:35,29.21,25.33,6.5
